% dwellings which are public housing,Distance to GPO (km),Public Housing Dwellings,Equivalent household income <$600/week,"Poor English proficiency, persons",Dwellings with no internet,"Aboriginal or Torres Strait Islander, persons","Holds degree or higher, persons",Population Density
13.30166270783848,199.68735961,56,228,<5,137,13,31,136.6442074177864
1.288659793814433,293.464769397,5,116,<5,71,8,97,107.4992695512618
10.737746336533602,184.979298069,425,1505,<5,810,210,637,9.04682636973708
8.858447488584474,155.903646573,194,1003,8,630,110,292,632.6101846294015
,13.9848291697,<5,242,50,169,<5,1406,1893.3779492827912
7.046332046332046,155.97521767,73,353,<5,250,10,274,221.9163998328125
35.22727272727273,77.03854286650001,217,299,11,178,11,134,2188.426405607368
5.044843049327354,75.844604676,90,506,27,304,13,835,1361.464282854653
0.3782668500687758,2.19959694103,11,263,49,189,5,2358,3651.081310106284
,83.6701571257,<5,165,<5,102,<5,105,33.23831139267989
,333.664233544,<5,12,<5,10,5,9,147.56763362993004
,220.037520701,<5,395,<5,234,52,243,3.0205200295080017
14.608909154682568,217.919276473,833,2135,22,1407,493,990,473.84420729948414
1.1073253833049403,389.506026804,13,384,<5,258,16,146,0.3784476097472684
2.4830699774266365,393.808659359,11,169,<5,146,<5,47,117.97328419563446
3.0821917808219177,29.3104113727,72,623,65,391,17,875,2765.4246705986075
3.949730700179533,140.273628867,22,178,5,106,11,43,190.9669756984159
,273.196445863,<5,54,<5,35,<5,21,67.53195897076783
,176.36799582700002,<5,191,<5,116,16,80,1.1267463117045269
,173.542784834,<5,173,<5,131,5,40,334.28389670537405
0.6605019815059445,9.40016745823,5,143,30,112,<5,492,5371.043984093929
0.6269592476489029,9.70724870828,28,940,255,584,18,3213,3953.432569528277
,28.1450953996,<5,322,22,126,20,1444,1667.4528551103965
0.9635651912074676,26.9138903948,64,1251,83,567,27,4152,1143.778064822013
1.4033825116948542,8.55992338477,117,1150,219,785,14,5645,6199.573106216418
,56.2488324125,<5,159,<5,65,<5,243,42.34985199353394
0.7650765076507651,57.3383121448,17,606,14,280,23,823,263.14216787710075
,37.134083361,<5,111,64,37,<5,257,254.0239337901712
7.7764423076923075,35.260626476999995,647,2702,1753,1149,72,3174,1683.0261355989935
,135.39337416400002,<5,65,<5,25,<5,40,169.97671473011596
,43.337490139,<5,84,28,90,11,92,7.769743697462652
5.721802038803025,34.1195015055,522,2906,1733,1536,223,2807,1569.861307106475
8.932038834951456,159.170165352,92,298,<5,140,53,283,456.8402750680289
3.2216494845360826,9.94236782449,75,468,98,340,22,1282,2309.3014867628285
0.8226691042047533,13.3345774634,9,270,76,180,15,444,3329.6377375557563
1.0389927881677057,9.1751571257,85,1744,430,1299,53,4860,3203.0301778434387
7.142857142857143,10.8674629501,41,152,35,105,<5,299,1415.3546506830305
17.073170731707318,37.4935774432,133,351,171,232,28,86,1944.603111949622
16.56050955414013,112.448281007,52,75,15,78,15,45,1527.232580461265
,167.676648849,<5,555,10,325,31,355,1.577114759759171
5.288461538461538,162.098922308,77,631,<5,440,25,184,443.5262011147461
1.4163250093179276,6.96894229181,38,642,304,452,31,1913,1750.8252581347472
,384.6718135050001,<5,<5,<5,23,<5,38,84.22652376512373
3.1662822394632,13.0471422114,151,2230,1728,1497,60,1326,2619.1200885293983
,36.336157125700005,<5,39,13,16,<5,123,2056.905471488974
5.240821160679037,38.1755588333,531,3067,408,1561,102,2950,1915.3709705561655
,47.2691155747,<5,131,<5,55,7,355,307.34003087455284
,166.911737752,<5,44,<5,16,<5,14,244.50236847230585
,3.91738687609,<5,42,17,33,<5,382,5417.958722557649
13.712853562477624,4.70255571487,766,1201,480,737,55,4928,4923.003484308926
38.26142131979695,2.85528470544,1809,1094,787,581,68,3563,7648.813809349969
58.44402277039848,6.09990996306,2156,1191,865,759,46,2069,2756.0137685789787
,101.127675469,<5,53,<5,36,<5,145,212.1712611539477
5.8441558441558445,151.820315193,99,647,50,338,45,577,1617.3606332364338
11.798490318345914,7.03473949306,719,1981,1469,1048,48,3426,2848.743283684623
8.531791907514451,26.1939657112,369,1489,631,886,41,2225,2574.8409521011527
0.7348784624081401,187.507888449,26,831,<5,478,44,521,3.069597145123248
5.732484076433121,171.31051325,36,269,<5,180,13,109,340.14964918825785
,252.241898005,<5,13,<5,9,34,<5,12.457692677821326
23.6385639370714,50.7944931983,586,1153,104,699,132,187,1142.2576745979693
1.878265781669256,56.860157125700006,133,1923,117,1011,88,2659,1257.293381320627
8.044924616981017,54.1033305992,1318,5834,559,3116,300,3360,1832.873529115074
,10.7140648975,<5,109,16,72,<5,346,3891.613101381943
,78.6768962951,<5,164,<5,83,<5,78,615.4073393324753
1.2987012987012987,74.9465149241,6,112,12,84,<5,203,1419.9153369060568
1.101141924959217,74.0999687879,27,553,95,419,14,1109,1475.6034623543508
5.760921747479597,75.3215856319,120,656,57,417,11,781,2099.556609608816
4.705882352941177,73.177431386,156,1009,164,682,36,1407,2921.565047180916
,71.9961764289,<5,111,<5,39,<5,96,441.6928250951621
14.285714285714286,210.005748095,12,40,<5,31,<5,<5,286.0256873032833
,61.349927646,<5,200,10,120,<5,515,15.89990604282436
2.2895622895622894,54.9455052399,68,692,20,345,32,1217,408.6727892228024
,28.1391245675,<5,36,<5,18,<5,20,555.7772213743219
5.295566502463054,19.8790113841,172,1125,423,630,33,768,2235.4485059381905
4.411764705882353,15.3521571257,18,112,35,46,<5,283,1002.1595789951788
0.8669267446900737,15.6914125804,20,639,246,306,5,1692,5588.766553913977
0.4188583674264562,12.705054778,43,1689,509,1021,11,8951,3071.5950600995284
1.1717691682470874,24.4476968249,173,4402,2910,1822,60,10675,2445.3759182718672
,173.863074246,<5,54,<5,31,11,44,637.1086516796423
,238.867445346,<5,40,<5,15,<5,62,343.3417795364654
,234.349812107,<5,53,<5,28,<5,21,328.8047763571724
2.5830258302583027,15.2791571257,7,118,58,71,7,48,1846.855480133787
10.767696909272184,14.6877511062,864,3182,1604,2103,132,2461,2352.1228182235154
,244.211137271,<5,116,<5,59,17,10,35.03200238071104
,147.56309692099998,<5,33,<5,19,6,12,68.34900427565358
6.721915285451197,114.754791301,73,413,20,234,52,330,1196.1408215721654
